                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6204,                 10.846,                 2.9901,                0.00028,                0.05263,                 0.0006,                0.00028,                 3.2149,                 9.1661,                 2.9995,                 0.0964,                 0.0004,                 0.0004
                      1,                 3.6737,                 8.9764,                   2.94,                0.00029,                0.05263,                0.00032,                0.00012,                  2.993,                 7.3648,                 3.0447,               0.091899,             0.00089911,             0.00089911
                      2,                 3.5206,                 6.7236,                 2.9196,                0.00085,                0.15789,                 0.0022,                0.00077,                 2.9677,                 6.1487,                 3.0511,               0.087397,              0.0013972,              0.0013972
                      3,                 3.5617,                 5.1261,                 3.0983,                0.00088,                0.23684,                0.00448,                0.00133,                 3.1012,                 6.0488,                 3.0553,               0.082894,              0.0018944,              0.0018944
                      4,                 3.3964,                 4.8498,                 2.9097,                0.00053,                0.15789,                0.00081,                0.00021,                 3.3916,                 6.6909,                 3.3182,                0.07839,              0.0023905,              0.0023905
                      5,                 3.3383,                 4.6911,                 2.8812,                 0.0006,                0.15789,                0.00156,                0.00051,                 3.2403,                 5.5385,                 3.2264,               0.073886,              0.0028856,              0.0028856
                      6,                 3.3393,                 4.5973,                  2.755,                0.00054,                0.15789,                0.00081,                0.00018,                 3.2036,                 5.1796,                 3.1944,                0.06938,              0.0033798,              0.0033798
                      7,                 3.1292,                 4.3139,                 2.6844,                 0.0006,                0.18421,                0.00058,                0.00017,                  3.112,                 4.7782,                 3.0923,               0.064873,               0.003873,               0.003873
                      8,                 3.0842,                 4.2754,                 2.5281,                 0.0006,                0.18421,                0.00382,                0.00067,                 3.3164,                 4.5545,                 2.8791,               0.060365,              0.0043652,              0.0043652
                      9,                 3.2646,                 4.2869,                 2.9334,                0.00067,                0.21053,                 0.0044,                0.00106,                 3.1012,                 4.6787,                 2.9154,               0.055856,              0.0048563,              0.0048563
                     10,                 2.9336,                 4.1463,                 2.4943,                0.00064,                0.13158,                 0.0006,                 0.0002,                 3.2332,                  4.687,                 2.8404,               0.051347,              0.0053465,              0.0053465
                     11,                 3.2044,                 4.2242,                 2.6359,                0.00117,                0.13158,                 0.0009,                0.00021,                 3.1812,                 4.5707,                  2.934,               0.046836,              0.0058357,              0.0058357
                     12,                 2.9359,                  4.148,                 2.4874,                0.00076,                0.21053,                0.00097,                 0.0002,                 3.0542,                 4.5742,                 2.9175,               0.042324,               0.006324,               0.006324
                     13,                 3.1613,                 4.2603,                  2.668,                0.00076,                0.23684,                0.00114,                 0.0003,                 3.1336,                 4.3161,                 3.0567,               0.037811,              0.0068112,              0.0068112
                     14,                  3.136,                 3.8718,                 2.6276,                0.00075,                0.23684,                0.00256,                0.00067,                 3.0778,                 4.3261,                 3.3067,               0.033297,              0.0072974,              0.0072974
                     15,                 3.1421,                  4.173,                 2.6291,                0.00067,                0.21053,                0.00073,                0.00026,                 3.0573,                 5.7514,                  3.309,               0.028783,              0.0077827,              0.0077827
                     16,                 3.3429,                 4.1372,                 2.5852,                0.00065,                0.10526,                0.00152,                0.00043,                 3.3704,                 4.4316,                 3.3801,               0.024267,              0.0082669,              0.0082669
                     17,                 3.0224,                 3.9825,                 2.5178,                0.00062,                0.18421,                0.00078,                 0.0002,                 3.2887,                 4.5169,                  3.157,                0.01975,              0.0087502,              0.0087502
