                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5129,                 4.6484,                 1.6639,                0.60349,                0.17091,                0.11191,                0.08741,                 1.4314,                 3.2469,                 1.5549,               0.070366,              0.0032927,              0.0032927
                      1,                 1.3315,                 3.0672,                 1.4621,                0.56532,                 0.2557,                 0.1708,                0.13469,                 1.3446,                 2.7312,                  1.508,               0.040359,              0.0066195,              0.0066195
                      2,                 1.3597,                 2.7878,                  1.475,                 0.4683,                0.24147,                0.17675,                0.12122,                 1.5367,                 3.5489,                 1.6621,               0.010346,              0.0099396,              0.0099396
                      3,                 1.4822,                 2.7776,                 1.5209,                0.37211,                 0.2292,                0.15773,                0.09714,                 1.5717,                 3.2853,                 1.6346,              0.0099703,              0.0099703,              0.0099703
                      4,                  1.473,                 2.6014,                 1.4791,                0.45532,                0.23954,                0.16552,                0.11719,                 1.5757,                  3.165,                 1.6573,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.4587,                 2.4995,                 1.4967,                0.44616,                0.31334,                0.21191,                0.14228,                  1.501,                 2.7647,                 1.6189,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.4399,                 2.3592,                 1.4719,                0.49478,                0.29417,                0.22347,                0.15276,                 1.4963,                 2.4149,                 1.5867,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.4506,                 2.3134,                 1.4858,                 0.4833,                0.24927,                0.21424,                0.14579,                 1.4357,                 2.3704,                 1.5588,              0.0099406,              0.0099406,              0.0099406
                      8,                   1.42,                 2.2939,                 1.4567,                0.54322,                0.26932,                0.20396,                0.13177,                 1.5118,                 2.6177,                 1.6401,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.4299,                 2.2776,                 1.4839,                0.52026,                0.34051,                0.22669,                0.15743,                  1.403,                 2.3726,                 1.5232,              0.0099208,              0.0099208,              0.0099208
