                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6907,                 5.8406,                 1.7652,                0.49557,                0.18119,                0.11444,                0.08067,                  1.627,                 3.5237,                 1.7442,               0.070366,              0.0032927,              0.0032927
                      1,                  1.479,                 3.2952,                 1.5503,                0.51547,                0.20915,                0.14845,                0.10843,                 1.4576,                 2.8483,                 1.5778,               0.040359,              0.0066195,              0.0066195
                      2,                 1.4392,                 2.8814,                 1.5109,                 0.6007,                0.14894,                0.14222,                0.09322,                 1.6809,                 3.2095,                 1.7136,               0.010346,              0.0099396,              0.0099396
                      3,                 1.4971,                 2.8656,                 1.5162,                0.50092,                0.19175,                0.14547,                0.10047,                 1.5818,                 2.8995,                 1.6528,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.4687,                 2.5781,                 1.4803,                0.61163,                0.16423,                0.19932,                0.13254,                 1.6022,                 2.8924,                 1.7142,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.4883,                  2.528,                 1.5068,                0.41969,                0.28759,                0.18432,                0.12466,                 1.5539,                 2.6636,                 1.6568,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.4512,                 2.3826,                 1.4797,                0.53566,                0.29985,                0.18897,                 0.1256,                  1.617,                  2.748,                 1.6897,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.4756,                 2.3159,                 1.4881,                0.55269,                  0.254,                0.25045,                0.17322,                 1.4688,                 2.3244,                 1.5815,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.4538,                 2.3097,                 1.4677,                0.50855,                0.36045,                0.22371,                0.15404,                 1.4841,                 2.4502,                 1.5799,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.4696,                  2.304,                 1.4885,                0.50683,                0.28993,                0.22751,                0.16461,                 1.4391,                 2.4105,                 1.5364,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.4422,                 2.2288,                 1.4563,                0.40733,                 0.3179,                 0.2622,                0.18511,                 1.4107,                 2.2969,                 1.5279,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.4176,                 2.1968,                 1.4434,                0.50177,                 0.2977,                0.26675,                0.18727,                 1.4181,                 2.1256,                 1.5404,               0.009901,               0.009901,               0.009901
                     12,                 1.3562,                 2.0902,                   1.41,                0.66337,                0.28955,                0.27898,                0.20722,                 1.2999,                 2.0909,                 1.4475,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.3261,                 2.0139,                 1.3699,                0.70877,                0.25176,                0.30281,                0.20984,                 1.3683,                 2.1375,                 1.4856,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.3379,                  2.088,                  1.403,                0.61664,                0.38292,                0.31122,                0.21235,                 1.3619,                 2.0717,                 1.4802,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.3155,                 2.0319,                 1.3876,                0.46051,                0.28965,                0.25996,                0.18403,                 1.3942,                 2.3708,                 1.5299,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.2973,                 1.9414,                  1.364,                 0.5894,                0.30825,                0.27074,                0.20094,                 1.3652,                 2.2912,                 1.4938,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.2876,                 1.9354,                 1.3599,                0.51399,                0.38493,                0.29671,                0.20827,                  1.362,                 2.0821,                 1.4448,              0.0098416,              0.0098416,              0.0098416
                     18,                   1.31,                 1.9582,                 1.3721,                0.57142,                 0.3431,                0.26913,                0.20026,                 1.3165,                 1.9585,                 1.4392,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.2835,                  1.896,                 1.3523,                0.51655,                0.35331,                0.28295,                 0.2038,                 1.3191,                 1.9245,                 1.4384,              0.0098218,              0.0098218,              0.0098218
