                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8537,                 15.636,                 3.0369,                0.00029,                0.05263,                0.00045,                0.00019,                 3.1718,                 9.8793,                 3.0145,                 0.0964,                 0.0004,                 0.0004
                      1,                 3.3357,                 11.502,                 2.8412,                0.00028,                0.05263,                0.00072,                0.00035,                 3.2425,                 9.5512,                 3.0342,               0.091899,             0.00089911,             0.00089911
                      2,                 3.4741,                 9.2573,                 2.8906,                0.00039,                0.07895,                0.00036,                0.00012,                 3.1374,                 7.1796,                 2.9759,               0.087397,              0.0013972,              0.0013972
                      3,                 3.5059,                 6.1555,                 2.9475,                0.00045,                0.07895,                0.00204,                0.00095,                 3.3906,                 6.2842,                 3.1621,               0.082894,              0.0018944,              0.0018944
                      4,                 3.3796,                 5.5268,                  2.943,                 0.0005,                0.13158,                0.00056,                0.00013,                  3.093,                 6.3301,                 3.0461,                0.07839,              0.0023905,              0.0023905
                      5,                 3.5808,                 5.2325,                  2.954,                0.00038,                0.10526,                0.00127,                0.00032,                 3.2383,                 5.0636,                 3.2012,               0.073886,              0.0028856,              0.0028856
                      6,                 3.2873,                 4.6013,                 2.8699,                0.00056,                0.13158,                0.00049,                0.00012,                 3.0474,                   4.34,                 2.9917,                0.06938,              0.0033798,              0.0033798
                      7,                 3.4982,                 4.4941,                 2.8248,                 0.0005,                0.13158,                0.00066,                0.00016,                  2.907,                 4.2896,                 2.9872,               0.064873,               0.003873,               0.003873
                      8,                 3.0988,                 4.3124,                 2.5662,                0.00043,                0.13158,                0.00048,                0.00012,                 3.0552,                 4.7431,                 2.8392,               0.060365,              0.0043652,              0.0043652
                      9,                 3.2223,                 4.2192,                 2.6893,                 0.0005,                0.15789,                0.00076,                0.00018,                 2.7951,                 4.8016,                 2.7259,               0.055856,              0.0048563,              0.0048563
                     10,                 3.2748,                 4.0799,                 2.7654,                 0.0005,                0.15789,                0.00036,                 0.0001,                 3.0553,                 5.4345,                 2.9125,               0.051347,              0.0053465,              0.0053465
                     11,                 3.2616,                 4.3873,                 2.5942,                0.00067,                0.21053,                0.00086,                0.00014,                 3.3506,                  4.631,                  3.089,               0.046836,              0.0058357,              0.0058357
                     12,                 3.1465,                 4.2545,                 2.5698,                 0.0008,                0.15789,                0.00079,                0.00023,                 3.4153,                 4.3033,                  2.962,               0.042324,               0.006324,               0.006324
                     13,                 3.2764,                 4.2441,                 2.5235,                0.00058,                0.02632,                0.00104,                0.00031,                 4.3207,                 4.5972,                 3.1145,               0.037811,              0.0068112,              0.0068112
                     14,                 3.4498,                 4.4498,                 2.4807,                0.00017,                0.05263,                0.00011,                  2e-05,                 4.4501,                 5.7261,                 4.6451,               0.033297,              0.0072974,              0.0072974
                     15,                 2.9979,                 4.1689,                 2.4176,                  8e-05,                0.02632,                  4e-05,                      0,                 4.7134,                 6.4872,                 5.3114,               0.028783,              0.0077827,              0.0077827
                     16,                  3.154,                 4.5303,                 2.6251,                  8e-05,                0.02632,                  4e-05,                      0,                 4.6718,                 8.5427,                 4.5978,               0.024267,              0.0082669,              0.0082669
                     17,                 3.0849,                 4.2191,                  2.346,                  8e-05,                0.02632,                  5e-05,                  2e-05,                  4.244,                 6.7909,                 3.3009,                0.01975,              0.0087502,              0.0087502
                     18,                  3.087,                 4.2361,                 2.4893,                0.00034,                0.10526,                0.00022,                  5e-05,                 3.6237,                 4.7188,                 3.1879,               0.015232,              0.0092325,              0.0092325
                     19,                 3.0968,                 3.8853,                 2.5128,                0.00025,                0.07895,                0.00048,                0.00012,                 3.1905,                 5.2652,                 3.0659,               0.010714,              0.0097138,              0.0097138
                     20,                 3.0726,                 4.2615,                 2.4878,                0.00038,                0.10526,                0.00037,                0.00015,                  3.297,                 4.7533,                 3.0089,               0.009802,               0.009802,               0.009802
                     21,                 3.1335,                 4.1474,                 2.4158,                0.00063,                0.13158,                0.00054,                 0.0001,                  3.443,                 4.4617,                 3.0581,               0.009802,               0.009802,               0.009802
                     22,                 3.2612,                 4.0501,                 2.5295,                0.00017,                0.05263,                0.00011,                  2e-05,                 3.4255,                 4.5962,                 3.0373,              0.0097921,              0.0097921,              0.0097921
